,Roll,Pitch,Yaw,Gamma Ordered,Theta Ordered,point_index
0,-8.0,10.0,0.0,0.0,20.0,0
1,-4.0,14.0,3.0,0.0,20.0,0
2,-5.0,14.0,6.0,0.0,20.0,0
3,-4.0,13.0,7.0,0.0,20.0,0
4,0.0,15.0,7.0,0.0,20.0,0
5,0.0,15.0,6.0,0.0,20.0,0
6,0.0,15.0,6.0,0.0,20.0,0
7,0.0,15.0,5.0,0.0,20.0,0
8,0.0,15.0,5.0,0.0,20.0,0
9,0.0,15.0,4.0,0.0,20.0,0
10,0.0,15.0,4.0,0.0,20.0,0
11,0.0,15.0,3.0,0.0,20.0,0
12,0.0,15.0,3.0,0.0,20.0,0
13,0.0,15.0,3.0,0.0,20.0,0
14,0.0,15.0,2.0,0.0,20.0,0
15,0.0,15.0,2.0,0.0,20.0,0
16,0.0,15.0,1.0,0.0,20.0,0
17,0.0,15.0,1.0,0.0,20.0,0
18,0.0,15.0,0.0,0.0,20.0,0
19,0.0,15.0,0.0,0.0,20.0,0
20,0.0,15.0,0.0,0.0,20.0,0
21,0.0,15.0,0.0,0.0,20.0,0
22,0.0,15.0,-1.0,0.0,20.0,0
23,0.0,15.0,-1.0,0.0,20.0,0
24,0.0,15.0,-2.0,0.0,20.0,0
25,0.0,15.0,-2.0,0.0,20.0,0
26,0.0,15.0,-3.0,0.0,20.0,0
27,0.0,15.0,-3.0,0.0,20.0,0
28,0.0,15.0,-4.0,0.0,20.0,0
29,0.0,15.0,-4.0,0.0,20.0,0
30,0.0,15.0,-5.0,0.0,20.0,0
31,0.0,15.0,-5.0,0.0,20.0,0
32,0.0,15.0,-6.0,0.0,20.0,0
33,0.0,15.0,-6.0,0.0,20.0,0
34,0.0,15.0,-7.0,0.0,20.0,0
35,0.0,15.0,-7.0,0.0,20.0,0
36,0.0,15.0,-8.0,0.0,20.0,0
37,0.0,15.0,-8.0,0.0,20.0,0
38,0.0,16.0,-9.0,0.0,20.0,0
39,0.0,15.0,-9.0,0.0,20.0,0
40,0.0,15.0,-10.0,0.0,20.0,0
41,0.0,15.0,-10.0,0.0,20.0,0
42,0.0,15.0,-10.0,0.0,20.0,0
43,0.0,15.0,-11.0,0.0,20.0,0
44,0.0,15.0,-11.0,0.0,20.0,0
45,0.0,15.0,-12.0,0.0,20.0,0
46,0.0,15.0,-12.0,0.0,20.0,0
47,0.0,15.0,-13.0,0.0,20.0,0
48,0.0,15.0,-13.0,0.0,20.0,0
49,0.0,15.0,-14.0,0.0,20.0,0
0,0.0,15.0,-14.0,18.94736842105263,20.0,1
1,0.0,15.0,-10.0,18.94736842105263,20.0,1
2,3.0,18.0,-8.0,18.94736842105263,20.0,1
3,11.0,19.0,-5.0,18.94736842105263,20.0,1
4,10.0,18.0,-5.0,18.94736842105263,20.0,1
5,10.0,18.0,-6.0,18.94736842105263,20.0,1
6,10.0,18.0,-6.0,18.94736842105263,20.0,1
7,10.0,18.0,-7.0,18.94736842105263,20.0,1
8,11.0,18.0,-7.0,18.94736842105263,20.0,1
9,11.0,19.0,-8.0,18.94736842105263,20.0,1
10,11.0,18.0,-8.0,18.94736842105263,20.0,1
11,10.0,19.0,-8.0,18.94736842105263,20.0,1
12,11.0,19.0,-9.0,18.94736842105263,20.0,1
13,11.0,19.0,-9.0,18.94736842105263,20.0,1
14,11.0,19.0,-10.0,18.94736842105263,20.0,1
15,11.0,19.0,-10.0,18.94736842105263,20.0,1
16,11.0,19.0,-11.0,18.94736842105263,20.0,1
17,11.0,19.0,-11.0,18.94736842105263,20.0,1
18,11.0,19.0,-12.0,18.94736842105263,20.0,1
19,11.0,19.0,-12.0,18.94736842105263,20.0,1
20,11.0,19.0,-13.0,18.94736842105263,20.0,1
21,11.0,19.0,-13.0,18.94736842105263,20.0,1
22,11.0,19.0,-14.0,18.94736842105263,20.0,1
23,11.0,19.0,-14.0,18.94736842105263,20.0,1
24,11.0,18.0,-15.0,18.94736842105263,20.0,1
25,10.0,19.0,-15.0,18.94736842105263,20.0,1
26,11.0,19.0,-16.0,18.94736842105263,20.0,1
27,11.0,19.0,-16.0,18.94736842105263,20.0,1
28,11.0,19.0,-17.0,18.94736842105263,20.0,1
29,11.0,19.0,-17.0,18.94736842105263,20.0,1
30,11.0,19.0,-18.0,18.94736842105263,20.0,1
31,10.0,19.0,-18.0,18.94736842105263,20.0,1
32,11.0,19.0,-19.0,18.94736842105263,20.0,1
33,11.0,19.0,-19.0,18.94736842105263,20.0,1
34,11.0,19.0,-20.0,18.94736842105263,20.0,1
35,11.0,19.0,-20.0,18.94736842105263,20.0,1
36,11.0,19.0,-20.0,18.94736842105263,20.0,1
37,11.0,18.0,-21.0,18.94736842105263,20.0,1
38,11.0,19.0,-21.0,18.94736842105263,20.0,1
39,11.0,19.0,-22.0,18.94736842105263,20.0,1
40,11.0,19.0,-22.0,18.94736842105263,20.0,1
41,11.0,19.0,-23.0,18.94736842105263,20.0,1
42,11.0,19.0,-23.0,18.94736842105263,20.0,1
43,11.0,19.0,-24.0,18.94736842105263,20.0,1
44,11.0,19.0,-24.0,18.94736842105263,20.0,1
45,11.0,19.0,-25.0,18.94736842105263,20.0,1
46,11.0,19.0,-25.0,18.94736842105263,20.0,1
47,11.0,19.0,-26.0,18.94736842105263,20.0,1
48,11.0,19.0,-26.0,18.94736842105263,20.0,1
49,11.0,19.0,-27.0,18.94736842105263,20.0,1
0,11.0,19.0,-27.0,37.89473684210526,20.0,2
1,12.0,20.0,-26.0,37.89473684210526,20.0,2
2,12.0,20.0,-25.0,37.89473684210526,20.0,2
3,15.0,22.0,-26.0,37.89473684210526,20.0,2
4,16.0,21.0,-27.0,37.89473684210526,20.0,2
5,16.0,21.0,-27.0,37.89473684210526,20.0,2
6,16.0,21.0,-28.0,37.89473684210526,20.0,2
7,16.0,21.0,-29.0,37.89473684210526,20.0,2
8,16.0,21.0,-29.0,37.89473684210526,20.0,2
9,16.0,21.0,-30.0,37.89473684210526,20.0,2
10,15.0,21.0,-30.0,37.89473684210526,20.0,2
11,16.0,21.0,-31.0,37.89473684210526,20.0,2
12,16.0,21.0,-31.0,37.89473684210526,20.0,2
13,16.0,21.0,-31.0,37.89473684210526,20.0,2
14,16.0,21.0,-32.0,37.89473684210526,20.0,2
15,15.0,21.0,-32.0,37.89473684210526,20.0,2
16,15.0,21.0,-33.0,37.89473684210526,20.0,2
17,16.0,21.0,-33.0,37.89473684210526,20.0,2
18,16.0,21.0,-34.0,37.89473684210526,20.0,2
19,16.0,21.0,-34.0,37.89473684210526,20.0,2
20,15.0,21.0,-35.0,37.89473684210526,20.0,2
21,16.0,21.0,-35.0,37.89473684210526,20.0,2
22,15.0,21.0,-36.0,37.89473684210526,20.0,2
23,16.0,21.0,-36.0,37.89473684210526,20.0,2
24,15.0,21.0,-37.0,37.89473684210526,20.0,2
25,16.0,21.0,-37.0,37.89473684210526,20.0,2
26,16.0,21.0,-37.0,37.89473684210526,20.0,2
27,15.0,21.0,-38.0,37.89473684210526,20.0,2
28,16.0,21.0,-38.0,37.89473684210526,20.0,2
29,16.0,21.0,-39.0,37.89473684210526,20.0,2
30,16.0,21.0,-39.0,37.89473684210526,20.0,2
31,16.0,21.0,-40.0,37.89473684210526,20.0,2
32,16.0,21.0,-40.0,37.89473684210526,20.0,2
33,16.0,21.0,-40.0,37.89473684210526,20.0,2
34,16.0,21.0,-41.0,37.89473684210526,20.0,2
35,16.0,21.0,-41.0,37.89473684210526,20.0,2
36,16.0,21.0,-42.0,37.89473684210526,20.0,2
37,16.0,21.0,-42.0,37.89473684210526,20.0,2
38,15.0,21.0,-43.0,37.89473684210526,20.0,2
39,16.0,21.0,-43.0,37.89473684210526,20.0,2
40,16.0,21.0,-43.0,37.89473684210526,20.0,2
41,15.0,21.0,-44.0,37.89473684210526,20.0,2
42,15.0,21.0,-44.0,37.89473684210526,20.0,2
