,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
1,3.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
2,3.0,0.0,1.0,0.0,50.0,0.0,50.0,0.0,0.0
3,4.0,0.0,7.0,0.0,50.0,0.0,50.0,0.0,0.0
4,5.0,2.0,10.0,0.0,50.0,0.0,50.0,0.0,0.0
5,12.0,2.0,14.0,0.0,50.0,0.0,50.0,0.0,0.0
6,15.0,2.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
7,13.0,2.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
8,16.0,3.0,22.0,0.0,50.0,0.0,50.0,0.0,0.0
9,15.0,3.0,22.0,0.0,50.0,0.0,50.0,0.0,0.0
10,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
11,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
12,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
13,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
14,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
15,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
16,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
17,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
18,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
19,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
20,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
21,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
22,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
23,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
24,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
25,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
26,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
